age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34,Private,62374,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,48,United-States,<=50K
51,Private,171409,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
22,Private,150175,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
49,Private,121253,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,1564,40,United-States,>50K
72,Private,74141,9th,5,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,48,United-States,>50K
37,Private,178100,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
44,Self-emp-not-inc,53956,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3137,0,40,United-States,<=50K
23,Private,190273,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
54,Private,202115,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,>50K
20,Private,39927,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,8,United-States,<=50K
20,?,307149,Some-college,10,Never-married,?,Own-child,White,Female,0,0,35,United-States,<=50K
39,Private,129495,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
51,Private,136080,HS-grad,9,Divorced,Sales,Other-relative,White,Female,0,0,31,United-States,<=50K
24,Private,395297,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,30,Japan,<=50K
20,Private,109952,HS-grad,9,Married-civ-spouse,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K
43,Private,117915,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,849067,12th,8,Divorced,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
30,State-gov,185590,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
38,Private,202937,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
46,Private,207733,1st-4th,2,Widowed,Other-service,Unmarried,White,Female,0,0,40,Puerto-Rico,<=50K
52,Local-gov,155233,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,28,United-States,<=50K
26,Private,266062,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
32,Private,42617,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,<=50K
47,Private,184945,Some-college,10,Separated,Other-service,Not-in-family,Black,Female,0,0,35,United-States,<=50K
52,Self-emp-not-inc,210377,10th,6,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States,<=50K
65,Private,225580,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
26,Private,207258,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
55,Private,112529,5th-6th,3,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
68,Self-emp-not-inc,335701,7th-8th,4,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
19,?,37332,HS-grad,9,Never-married,?,Own-child,White,Female,1055,0,12,United-States,<=50K
35,Private,110013,Bachelors,13,Divorced,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
67,State-gov,261203,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,United-States,<=50K
31,Private,254293,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Local-gov,248748,Bachelors,13,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
30,State-gov,35683,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
48,Private,202117,11th,7,Divorced,Other-service,Not-in-family,White,Female,0,0,34,United-States,<=50K
44,State-gov,369131,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
42,Self-emp-inc,277256,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K
64,Private,285610,11th,7,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
26,Self-emp-not-inc,384276,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
23,Local-gov,307267,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,10,United-States,<=50K
35,Federal-gov,103214,Doctorate,16,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,0,0,60,United-States,>50K
31,Self-emp-not-inc,226624,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
20,Private,86143,Some-college,10,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Male,0,0,30,United-States,<=50K
48,Private,167159,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
57,Private,35884,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
43,Private,142444,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,55,United-States,>50K
52,Private,75839,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,175232,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,60,United-States,>50K
34,Private,33117,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
52,State-gov,168035,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
19,Private,204389,HS-grad,9,Never-married,Adm-clerical,Own-child,Other,Female,0,0,25,Puerto-Rico,<=50K
62,Private,67320,HS-grad,9,Widowed,Other-service,Other-relative,Black,Female,0,0,40,United-States,<=50K
22,Private,254351,HS-grad,9,Married-civ-spouse,Protective-serv,Own-child,White,Male,0,0,40,United-States,<=50K
49,State-gov,194895,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
62,Local-gov,167889,Doctorate,16,Widowed,Prof-specialty,Unmarried,White,Female,0,0,40,Iran,<=50K
40,Private,306225,HS-grad,9,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Japan,<=50K
36,Private,29814,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
24,?,32616,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,Local-gov,162236,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,>50K
42,Self-emp-not-inc,215219,11th,7,Separated,Other-service,Unmarried,White,Female,0,0,30,United-States,<=50K
32,Private,166634,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
44,Private,191256,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,191957,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,>50K
42,Private,227397,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
53,Private,187356,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,66,United-States,<=50K
36,Self-emp-not-inc,28738,Assoc-acdm,12,Divorced,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K
26,Private,109097,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,48,United-States,<=50K
68,Private,165017,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Italy,>50K
28,Private,300915,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,43,United-States,>50K
38,Private,296317,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
36,Private,231037,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
67,?,201657,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,60,United-States,<=50K
38,Private,189404,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,35,?,<=50K
28,Private,169069,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
50,Local-gov,117496,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298,0,30,United-States,>50K
